45;2015-01;2015-01-01;037;037-05;BOLSA SEGURIDAD;BOLSA;0;0;0;0;500;0;0;1;EDIER;
46;2015-01;2015-01-01;038;038-01;BOLSA SEGURIDAD;BOLSA;0;0;0;0;75;0;0;1;EDIER;
47;2015-01;2015-01-01;039;039-02;BOLSA SEGURIDAD;BOLSA;0;0;0;0;48;0;0;1;EDIER;
48;2015-01;2015-01-01;039;039-03;BOLSA SEGURIDAD;BOLSA;0;0;0;0;48;0;0;1;EDIER;
49;2015-01;2015-01-01;039;039-04;BOLSA SEGURIDAD;BOLSA;0;0;0;0;48;0;0;1;EDIER;
50;2015-01;2015-01-01;040;040-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;109;0;0;1;EDIER;
51;2015-01;2015-01-01;042;042-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;153;0;0;1;EDIER;
52;2015-01;2015-01-01;043;043-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;76;0;0;1;EDIER;
53;2015-01;2015-01-01;044;044-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;34;0;0;1;EDIER;
54;2015-01;2015-01-01;044;044-01;BOLSA SEGURIDAD;BOLSA;15.100;0;0;15.100;34;520.297;0;1;EDIER;
55;2015-01;2015-01-01;045;045-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;184;0;0;1;EDIER;
56;2015-01;2015-01-01;046;046-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;208;0;0;1;EDIER;
57;2015-01;2015-01-01;046;046-01;BOLSA SEGURIDAD;BOLSA;2.866;30.334;10.000;23.200;210;4.869.675;0;1;EDIER;
58;2015-01;2015-01-01;047;047-00;BOLSA CURRIER;BOLSA;0;0;0;0;67;0;0;1;EDIER;
59;2015-01;2015-01-01;048;048-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;68;0;0;1;EDIER;
60;2015-01;2015-01-01;049;049-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;289;0;0;1;EDIER;
61;2015-01;2015-01-01;049;049-03;BOLSA SEGURIDAD;BOLSA;11.400;19.200;15.000;15.600;290;4.523.211;0;1;EDIER;
62;2015-01;2015-01-01;050;050-01;BOLSA SEGURIDAD;BOLSA;0;0;0;0;263;0;0;1;EDIER;
63;2015-01;2015-01-01;052;052-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;76;0;0;1;EDIER;
64;2015-01;2015-01-01;053;053-00;BOLSA SEGURIDAD;BOLSA;859;0;0;859;286;245.876;0;1;EDIER;
65;2015-01;2015-01-01;054;054-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;183;0;0;1;EDIER;
66;2015-01;2015-01-01;055;055-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;179;0;0;1;EDIER;
67;2015-01;2015-01-01;056;056-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;162;0;0;1;EDIER;
68;2015-01;2015-01-01;056;056-02;BOLSA SEGURIDAD;BOLSA;77.500;0;0;77.500;162;12.541.124;0;1;EDIER;
69;2015-01;2015-01-01;057;057-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;231;0;0;1;EDIER;
70;2015-01;2015-01-01;057;057-02;BOLSA SEGURIDAD;BOLSA;5.600;29.600;29.600;5.600;234;1.312.114;0;1;EDIER;
71;2015-01;2015-01-01;058;058-00;BOLSA CURRIER;BOLSA;2.600;0;0;2.600;92;237.912;0;1;EDIER;
72;2015-01;2015-01-01;058;058-01;BOLSA CURRIER;BOLSA;850;29.950;7.000;23.800;92;2.179.317;0;1;EDIER;
73;2015-01;2015-01-01;059;059-00;BOLSA CURRIER;BOLSA;6.190;0;0;6.190;144;888.294;0;1;EDIER;
74;2015-01;2015-01-01;059;059-01;BOLSA CURRIER;BOLSA;2.381;27.150;6.200;23.331;143;3.346.005;0;1;EDIER;
75;2015-01;2015-01-01;060;060-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;480;0;0;1;EDIER;
76;2015-01;2015-01-01;061;061-00;BOLSA PLASTICA;BOLSA;286.200;644.100;423.000;507.300;27;13.510.897;0;1;EDIER;
77;2015-01;2015-01-01;062;062-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;15;0;0;1;EDIER;
78;2015-01;2015-01-01;063;063-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;155;0;0;1;EDIER;
79;2015-01;2015-01-01;065;065-02;BOLSA SEGURIDAD;BOLSA;0;0;0;0;115;0;0;1;EDIER;
80;2015-01;2015-01-01;066;066-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;180;0;0;1;EDIER;
81;2015-01;2015-01-01;070;070-01;BOLSA SEGURIDAD;BOLSA;0;0;0;0;113;0;0;1;EDIER;
82;2015-01;2015-01-01;071;071-00;BOLSA SEGURIDAD;BOLSA;0;0;0;0;177;0;0;1;EDIER;
83;2015-01;2015-01-01;071;071-01;BOLSA SEGURIDAD;BOLSA;0;0;0;0;180;0;0;1;EDIER;
84;2015-01;2015-01-01;071;071-03;BOLSA SEGURIDAD;BOLSA;14.100;0;3.000;11.100;177;1.964.213;0;1;EDIER;
